symbol,date,open,high,low,close,volume
ABAN,2025-09-02,,870.0,840.0,844.75,1183
ABAN,2025-09-03,,869.0,840.5,851.25,1211
ABAN,2025-09-04,,869.0,845.0,846.5,3827
ABAN,2025-09-08,,870.0,845.0,851.5,1930
ABAN,2025-09-09,,865.0,825.5,835.75,6213
ABAN,2025-09-10,,899.0,825.0,872.0,4450
ABAN,2025-09-11,,889.75,861.0,861.0,2241
ABAN,2025-09-12,,880.0,840.0,870.0,3586
ABAN,2025-09-15,,874.5,837.0,852.75,2879
ABAN,2025-09-16,,875.0,850.0,861.75,3425
ABAN,2025-09-17,,999.0,865.0,972.0,12510
ABAN,2025-09-18,,1100.0,950.0,1080.5,29075
ABAN,2025-09-19,,1098.5,1004.0,1051.75,6783
ABAN,2025-09-22,,1050.0,1004.25,1015.75,3382
ABAN,2025-09-23,,1045.0,1017.0,1036.25,3337
ABAN,2025-09-24,,1044.0,1017.0,1017.0,1947
ABAN,2025-09-25,,1027.0,1002.25,1011.25,1794
ABAN,2025-09-26,,1022.0,1010.0,1020.0,9796
ABAN,2025-09-29,,1048.0,1010.25,1040.0,13174
ABAN,2025-09-30,,1200.0,1050.0,1162.0,10244
ABAN,2025-10-01,,1199.25,1150.0,1156.25,7675
ABAN,2025-10-02,,1171.0,1140.0,1161.0,2748
ABAN,2025-10-03,,1200.0,1140.25,1166.75,3167
ABAN,2025-10-07,,1199.0,1161.25,1193.5,7396
ABAN,2025-10-08,,1198.0,1120.25,1159.25,4470
ABAN,2025-10-09,,1195.0,1180.0,1182.5,1534
ABAN,2025-10-10,,1299.75,1185.0,1284.0,3979
ABAN,2025-10-13,,1425.0,1284.0,1409.25,4800
ABAN,2025-10-14,,1424.0,1356.0,1388.75,736
ABAN,2025-10-15,,1398.75,1366.0,1387.5,1699
ABAN,2025-10-16,,1400.0,1351.0,1372.75,478
ABAN,2025-10-17,,1390.0,1350.0,1350.25,1194
ABAN,2025-10-21,,1345.0,1301.25,1324.25,1910
ABAN,2025-10-22,,1552.0,1305.5,1419.0,6561
ABAN,2025-10-23,,1520.0,1400.0,1491.0,7508
ABAN,2025-10-24,,1600.0,1500.0,1561.25,5970
ABAN,2025-10-27,,1600.0,1551.0,1561.0,2052
ABAN,2025-10-28,,1590.0,1530.0,1533.5,5545
ABAN,2025-10-29,,1600.0,1533.25,1594.25,1976
ABAN,2025-10-30,,1600.0,1561.0,1589.75,1631
ABAN,2025-10-31,,1625.0,1541.0,1564.75,2734
ABAN,2025-11-03,,1600.0,1550.75,1560.75,1102
ABAN,2025-11-04,,1580.0,1541.0,1551.5,962
ABAN,2025-11-06,,1579.75,1400.0,1485.0,4130
ABAN,2025-11-07,,1500.0,1300.0,1497.25,2647
ABAN,2025-11-10,,1510.0,1420.0,1443.75,4244
ABAN,2025-11-11,,1547.75,1450.0,1495.25,1755
ABAN,2025-11-12,,1544.75,1500.0,1525.25,563
ABAN,2025-11-13,,1546.0,1471.25,1493.25,865
ABAN,2025-11-14,,1420.0,1390.0,1400.0,3865
ABAN,2025-11-17,,1401.0,1300.0,1338.75,1147
ABAN,2025-11-18,,1350.0,1300.0,1308.5,2780
ABAN,2025-11-19,,1350.0,1312.0,1328.25,267
ABAN,2025-11-20,,1345.0,1313.0,1322.75,121
ABAN,2025-11-21,,1340.0,1300.0,1302.75,1263
ABAN,2025-11-24,,1340.0,1200.0,1212.0,1733
ABAN,2025-11-25,,1248.75,1218.0,1224.5,2125
ABAN,2025-11-26,,1300.0,1230.0,1243.75,1905
ABAN,2025-11-27,,1299.0,1200.0,1215.25,2335
ABAN,2025-11-28,,1325.0,1190.0,1244.0,820
ABAN,2025-12-01,,1295.5,1180.0,1214.25,859
ABAN,2025-12-02,,1297.0,1201.5,1279.75,5845
ABAN,2025-12-03,,1295.0,1230.0,1233.25,2754
ABAN,2025-12-05,,1290.0,1196.0,1200.25,1348
ABAN,2025-12-08,,1297.75,1190.0,1195.0,992
ABAN,2025-12-09,,1250.0,1099.75,1118.25,10120
ABAN,2025-12-10,,1260.0,1156.5,1201.75,1629
ABAN,2025-12-11,,1249.0,1165.0,1180.25,1467
ABAN,2025-12-12,,1233.5,1190.0,1198.75,1020
ABAN,2025-12-15,,1259.0,1200.0,1203.5,1066
ABAN,2025-12-16,,1235.0,1203.5,1222.75,152
ABAN,2025-12-17,,1235.0,1211.25,1212.25,174
ABAN,2025-12-18,,1229.75,1212.25,1217.75,317
ABAN,2025-12-19,,1217.75,1200.0,1202.0,877
ABAN,2025-12-22,,1220.0,1180.0,1185.5,514
ABAN,2025-12-23,,1200.0,1150.0,1159.5,1611
ABAN,2025-12-24,,1180.0,1155.0,1177.0,306
ABAN,2025-12-26,,1190.0,1170.0,1185.75,486
ABAN,2025-12-29,,1275.0,1190.0,1211.25,795
ABAN,2025-12-30,,1240.0,1200.0,1201.5,501
ABAN,2025-12-31,,1255.0,1202.0,1247.25,813
ABAN,2026-01-02,,1550.0,1245.0,1393.0,7959
ABAN,2026-01-05,,1420.0,1390.0,1400.0,10714
ABAN,2026-01-06,,1448.25,1380.0,1396.5,304
ABAN,2026-01-08,,1410.0,1370.0,1373.25,578
ABAN,2026-01-09,,1403.0,1370.0,1374.0,7632
ABAN,2026-01-12,,1398.75,1350.0,1351.25,425
ABAN,2026-01-13,,1372.25,1300.0,1335.0,211
ABAN,2026-01-14,,1370.0,1346.0,1353.75,772
ABAN,2026-01-16,,1370.0,1337.75,1345.25,392
ABAN,2026-01-19,,1348.75,1312.0,1336.0,157
ABAN,2026-01-20,,1340.0,1316.0,1328.75,433
ABAN,2026-01-21,,1342.75,1315.0,1329.5,484
ABAN,2026-01-22,,1338.75,1300.0,1300.75,3803
ABAN,2026-01-23,,1336.5,1300.0,1300.75,1112
ABAN,2026-01-26,,1309.0,1290.0,1297.0,356
ABAN,2026-01-27,,1309.0,1280.0,1280.25,548
ABAN,2026-01-28,,1290.0,1270.0,1279.5,182
ABAN,2026-01-29,,1285.0,1230.0,1237.5,334
ABAN,2026-01-30,,1285.0,1245.25,1256.25,174
ABAN,2026-02-02,,1256.25,1230.0,1241.0,440
ABAN,2026-02-03,,1250.0,1200.0,1205.0,320
ABAN,2026-02-05,,1320.0,1250.0,1299.25,1275
ABAN,2026-02-06,,1309.75,1286.0,1300.75,496
